userId,movieId,title,rating
1,2000,The Night Agent: Season 1,6.0
2,2001,Ginny & Georgia: Season 2,5.7
3,2002,The Glory: Season 1 // 더 글로리: 시즌 1,8.4
4,2004,Queen Charlotte: A Bridgerton Story,7.4
5,2005,You: Season 4,6.6
6,2006,La Reina del Sur: Season 3,7.9
7,2008,Ginny & Georgia: Season 1,5.7
8,2009,FUBAR: Season 1,7.6
9,2013,The Mother,5.6
10,2015,Crash Course in Romance: Limited Series // 일타 스캔들: 리미티드 시리즈,7.8
11,2017,BEEF: Season 1,5.5
12,2018,The Diplomat: Season 1,8.9
13,2019,Luther: The Fallen Sun,6.4
14,2021,Vikings: Valhalla: Season 2,8.6
15,2022,Extraction 2,7.0
16,2025,Shadow and Bone: Season 2,7.6
17,2026,Outer Banks: Season 1,7.1
18,2027,Sweet Tooth: Season 2,8.8
19,2028,You People,5.5
20,2029,Perfect Match: Season 1,7.3
21,2031,The Marked Heart: Season 2 // Pálpito: Temporada 2,8.7
22,2032,Murder Mystery 2,5.7
23,2033,The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,8.9
24,2035,Never Have I Ever: Season 4,6.8
25,2036,Your Place or Mine,5.7
26,2037,Chiquititas (2013),5.2
27,2038,Emily in Paris: Season 3,6.9
28,2039,Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,6.2
29,2041,Outer Banks: Season 2,7.5
30,2043,Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,7.9
31,2044,Mr. Queen // 철인왕후,4.7
32,2046,Alchemy of Souls: Part 2 // 환혼: 파트 2,6.0
33,2047,PAW Patrol: Season 6,5.2
34,2048,The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,8.4
35,2049,The Recruit: Season 1,8.4
36,2051,Glass Onion: A Knives Out Mystery,7.1
37,2052,Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,4.9
38,2055,The Walking Dead: Season 11,8.1
39,2058,Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,9.4
40,2059,The Snow Girl: Season 1 // La chica de nieve: Temporada 1,5.6
41,2060,Stranger Things 4,9.4
42,2061,The Marked Heart: Season 1 // Pálpito: Temporada 1,5.9
43,2065,Pasión de Gavilanes: Season 1,6.1
44,2068,We Have a Ghost,6.1
45,2069,You: Season 1,8.3
46,2070,Business Proposal: Season 1 // 사내맞선: 시즌 1,7.1
47,2071,The Pale Blue Eye,6.6
48,2072,Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,5.9
49,2074,MH370: The Plane That Disappeared: Limited Series,6.1
50,2076,Vikings: Valhalla: Season 1,8.6
51,2079,Lockwood & Co.: Season 1,9.0
52,2080,You: Season 3,5.4
53,2081,Breaking Bad: Season 5,8.3
54,2083,Murdaugh Murders: A Southern Scandal: Season 1,6.8
55,2085,Breaking Bad: Season 3,7.4
56,2088,Café con aroma de mujer: Season 1,7.6
57,2089,Love to Hate You: Season 1 // 연애대전: 시즌 1,7.0
58,2090,The Blacklist: Season 1,8.9
59,2091,Shadow and Bone: Season 1,7.6
60,2093,Designated Survivor: Season 1,6.4
61,2094,The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,7.2
62,2095,Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,4.9
63,2096,Minions: The Rise of Gru,6.5
64,2098,The Blacklist: Season 9,6.0
65,2099,That '90s Show: Part 1,6.4
66,2101,La Reina del Sur: Season 1,7.9
67,2102,All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,9.2
68,2104,Black Knight: Season 1 // 택배기사: 시즌 1,6.1
69,2105,Breaking Bad: Season 4,8.3
70,2107,Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,5.8
71,2108,La Reina del Sur: Season 2,5.2
72,2113,Women at War: Limited Series // Les Combattantes: Mini-série,6.6
73,2114,Formula 1: Drive to Survive: Season 5,8.5
74,2115,Sweet Tooth: Season 1,8.8
75,2117,Murder Mystery,6.0
76,2119,Squid Game: Season 1 // 오징어 게임: 시즌 1,1.6
77,2122,Extraction,6.8
78,2125,Woman of the Dead: Season 1 // Totenfrau: Season 1,7.6
79,2126,The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,7.4
80,2131,The Last Kingdom: Seven Kings Must Die,6.9
81,2135,Sam & Cat: Season 1,8.2
82,2136,Gilmore Girls: Season 1,6.6
83,2137,Sonic Prime: Season 1,7.3
84,2138,Peppa Pig: Season 1,7.7
85,2140,Roald Dahl's Matilda The Musical,7.0
86,2141,Better Call Saul: Season 6,9.0
87,2142,Sing (2016),7.1
88,2143,Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,7.6
89,2144,All Quiet on the Western Front // Im Westen nichts Neues,8.1
90,2147,Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,9.3
91,2148,Chupa,5.5
92,2149,Stranger Things,7.1
93,2150,Paw Patrol: The Movie,6.0
94,2151,Sing 2,7.4
95,2153,Next in Fashion: Season 2,7.5
96,2154,Gilmore Girls: Season 2,8.2
97,2156,The Boss Baby,6.3
98,2158,Trolls,6.0
99,2159,Blood Ties: Season 1 // Las Villamizar: Season 1,8.6
100,2161,Rough Diamonds: Season 1,5.9
101,2162,Vincenzo: Season 1 // 빈센조: 시즌 1,7.8
102,2163,The Walking Dead: Season 10,8.1
103,2164,The Witcher: Season 1,7.1
104,2166,The Walking Dead: Season 3,7.7
105,2167,Carrossel,5.3
106,2168,Gilmore Girls: Season 3,6.3
107,2169,Red Rose: Season 1,8.7
108,2171,New Amsterdam (2018): Season 3,8.4
109,2172,Gilmore Girls: Season 5,7.5
110,2173,Gilmore Girls: Season 4,7.5
111,2174,The Blacklist: Season 2,8.7
