userId,movieId,title,rating
1,2000,The Night Agent: Season 1,6.0
2,2001,Ginny & Georgia: Season 2,5.7
4,2004,Queen Charlotte: A Bridgerton Story,7.4
5,2005,You: Season 4,6.6
6,2006,La Reina del Sur: Season 3,7.9
7,2008,Ginny & Georgia: Season 1,5.7
8,2009,FUBAR: Season 1,7.6
9,2013,The Mother,5.6
11,2017,BEEF: Season 1,5.5
12,2018,The Diplomat: Season 1,8.9
13,2019,Luther: The Fallen Sun,6.4
14,2021,Vikings: Valhalla: Season 2,8.6
15,2022,Extraction 2,7.0
16,2025,Shadow and Bone: Season 2,7.6
17,2026,Outer Banks: Season 1,7.1
18,2027,Sweet Tooth: Season 2,8.8
19,2028,You People,5.5
20,2029,Perfect Match: Season 1,7.3
22,2032,Murder Mystery 2,5.7
23,2033,The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,8.9
24,2035,Never Have I Ever: Season 4,6.8
25,2036,Your Place or Mine,5.7
26,2037,Chiquititas (2013),5.2
27,2038,Emily in Paris: Season 3,6.9
29,2041,Outer Banks: Season 2,7.5
30,2043,Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,7.9
33,2047,PAW Patrol: Season 6,5.2
35,2049,The Recruit: Season 1,8.4
36,2051,Glass Onion: A Knives Out Mystery,7.1
38,2055,The Walking Dead: Season 11,8.1
40,2059,The Snow Girl: Season 1 // La chica de nieve: Temporada 1,5.6
41,2060,Stranger Things 4,9.4
44,2068,We Have a Ghost,6.1
45,2069,You: Season 1,8.3
47,2071,The Pale Blue Eye,6.6
49,2074,MH370: The Plane That Disappeared: Limited Series,6.1
50,2076,Vikings: Valhalla: Season 1,8.6
51,2079,Lockwood & Co.: Season 1,9.0
52,2080,You: Season 3,5.4
53,2081,Breaking Bad: Season 5,8.3
54,2083,Murdaugh Murders: A Southern Scandal: Season 1,6.8
55,2085,Breaking Bad: Season 3,7.4
58,2090,The Blacklist: Season 1,8.9
59,2091,Shadow and Bone: Season 1,7.6
60,2093,Designated Survivor: Season 1,6.4
63,2096,Minions: The Rise of Gru,6.5
64,2098,The Blacklist: Season 9,6.0
65,2099,That '90s Show: Part 1,6.4
66,2101,La Reina del Sur: Season 1,7.9
69,2105,Breaking Bad: Season 4,8.3
71,2108,La Reina del Sur: Season 2,5.2
73,2114,Formula 1: Drive to Survive: Season 5,8.5
74,2115,Sweet Tooth: Season 1,8.8
75,2117,Murder Mystery,6.0
77,2122,Extraction,6.8
78,2125,Woman of the Dead: Season 1 // Totenfrau: Season 1,7.6
80,2131,The Last Kingdom: Seven Kings Must Die,6.9
81,2135,Sam & Cat: Season 1,8.2
82,2136,Gilmore Girls: Season 1,6.6
83,2137,Sonic Prime: Season 1,7.3
84,2138,Peppa Pig: Season 1,7.7
85,2140,Roald Dahl's Matilda The Musical,7.0
86,2141,Better Call Saul: Season 6,9.0
87,2142,Sing (2016),7.1
89,2144,All Quiet on the Western Front // Im Westen nichts Neues,8.1
91,2148,Chupa,5.5
92,2149,Stranger Things,7.1
93,2150,Paw Patrol: The Movie,6.0
94,2151,Sing 2,7.4
95,2153,Next in Fashion: Season 2,7.5
96,2154,Gilmore Girls: Season 2,8.2
97,2156,The Boss Baby,6.3
98,2158,Trolls,6.0
99,2159,Blood Ties: Season 1 // Las Villamizar: Season 1,8.6
100,2161,Rough Diamonds: Season 1,5.9
102,2163,The Walking Dead: Season 10,8.1
103,2164,The Witcher: Season 1,7.1
104,2166,The Walking Dead: Season 3,7.7
105,2167,Carrossel,5.3
106,2168,Gilmore Girls: Season 3,6.3
107,2169,Red Rose: Season 1,8.7
108,2171,New Amsterdam (2018): Season 3,8.4
109,2172,Gilmore Girls: Season 5,7.5
110,2173,Gilmore Girls: Season 4,7.5
111,2174,The Blacklist: Season 2,8.7
114,2180,The Thundermans: Season 1,8.9
115,2181,The Flash (2014): Season 1,8.4
116,2182,Red Notice,6.3
117,2184,The Queen of Flow: Season 2 // La reina del flow: Temporada 2,9.3
118,2185,The Walking Dead: Season 2,8.7
119,2186,Viking Wolf // Vikingulven,5.2
120,2187,Designated Survivor: Season 2,5.5
121,2189,Hotel Transylvania 2,6.6
122,2191,Masha and the Bear: Season 1,7.9
123,2193,Grizzy and the Lemmings: Season 2,5.5
124,2195,The Witcher: Blood Origin: Limited Series,4.9
125,2197,The Watcher: Season 1,8.9
126,2198,Jumanji: The Next Level,6.7
127,2200,Gilmore Girls: Season 6,6.6
128,2201,The Tailor: Season 1 // Terzi: 1. Sezon,8.9
129,2202,All American: Season 5,5.3
130,2204,DAHMER: Monster: The Jeffrey Dahmer Story,7.9
131,2205,The Blacklist: Season 3,9.0
132,2206,Narvik,6.6
133,2207,Home (2015),6.5
134,2208,The Sea Beast,7.0
135,2209,The Walking Dead: Season 4,8.1
136,2210,Harry & Meghan: Limited Series,7.6
137,2211,The Walking Dead: Season 5,9.3
138,2212,My Dad the Bounty Hunter: Season 1,7.2
139,2213,Dog Gone,6.1
140,2216,A Man Called Otto,7.5
141,2217,Peaky Blinders: Season 1,9.3
142,2218,Victorious: Season 1,5.5
143,2219,Never Have I Ever: Season 1,6.8
144,2221,Eva Lasting: Season 1 // La primera vez: Temporada 1,8.1
145,2222,Unseen: Season 1,6.3
146,2223,Narcos: Season 1,8.4
147,2224,The Walking Dead: Season 6,8.1
148,2225,MADOFF: The Monster of Wall Street: Limited Series,7.3
149,2226,The Witcher: Season 2,6.6
150,2227,Sky Rojo: Season 3,6.6
152,2229,Miraculous: Tales of Ladybug & Cat Noir: Season 1,7.5
153,2230,Never Have I Ever: Season 3,6.8
155,2235,New Amsterdam (2018): Season 4,8.1
156,2238,The Walking Dead: Season 7,7.9
157,2239,The Blacklist: Season 8,7.7
158,2240,The Sandman: Season 1,8.4
159,2241,True Spirit,6.8
160,2243,Gilmore Girls: Season 7,5.5
